name,company,location,type,job category
Sales Representative,Matrix Sports Club,"Tanta, Gharbia, Egypt","Full Time, On-site",Sales Representative | Entry Level |  Sales/Retail |  Sales |  sales skills |  Sales Target |  Selling
English Teacher- Sheikh Zayed,UCMAS Academy,"Giza, Egypt","Full Time, Part Time, On-site",English Teacher- Sheikh Zayed | Experienced |  Education/Teaching |  Communication skills |  English |  Teaching |  Kids Teaching |  English Education
English Teacher,UCMAS Academy,"Alexandria, Egypt","Full Time, Part Time, On-site",English Teacher | Entry Level |  Education/Teaching |  Training/Instructor |  Communication skills |  English Teaching |  Teacher |  Teaching |  Education |  English |  Kids |  Communication
English Teacher- Obour/Heliopolis/Fifth Settlement,UCMAS Academy,"Heliopolis, Cairo, Egypt","Full Time, Part Time, On-site",English Teacher- Obour/Heliopolis/Fifth Settlement | Experienced |  Education/Teaching |  English Teaching |  Teaching English as a Foreign Language |  ESL |  Teahing Kids |  Language Teaching
Senior Sales Real Estate,Rekaz Developments,"New Cairo, Cairo, Egypt","Full Time, On-site",Senior Sales Real Estate | Experienced |  Business Development |  Customer Service/Support |  Sales/Retail |  Real Estate |  Sales |  sales real estate |  Sales Target |  sales skills |  Senior sales |  senior
English Teacher - Nasr City,UCMAS Academy,"Nasr City, Cairo, Egypt","Full Time, Part Time, On-site",English Teacher - Nasr City | Entry Level |  Education/Teaching |  Training/Instructor |  Education |  English |  English Teacher |  Communication skills |  Teacher |  Teaching |  English Language |  ESL
Junior design Architect,Elgabaly Architects,"New Cairo, Cairo, Egypt","Full Time, On-site",Junior design Architect | Entry Level |  Engineering - Construction/Civil/Architecture |  Design |  Architecture |  Sketchup
English Teacher-Helwan,UCMAS Academy,"Helwan, Cairo, Egypt","Full Time, Part Time, On-site",English Teacher-Helwan | Experienced |  Education/Teaching |  Training/Instructor |  English Teacher |  English Teaching |  English |  ESL |  Teaching |  Kids |  Education |  Language Teaching
Junior Architect - ( Working Drawings & Revit ),Elgabaly Architects,"New Cairo, Cairo, Egypt","Full Time, On-site",Junior Architect - ( Working Drawings & Revit ) | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Architecture |  Sketch Up |  CAD |  Revit |  Drafting |  Design |  Engineering |  Drawing
Design Manager,Elgabaly Architects,"New Cairo, Cairo, Egypt","Full Time, On-site",Design Manager | Manager |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Design |  Design Management |  Architecture |  AutoCAD |  Revit |  Adobe Photoshop |  Adobe Illustrator |  Microsoft Office
English Teacher-Giza/October,UCMAS Academy,"Haram, Giza, Egypt","Full Time, Part Time, On-site",English Teacher-Giza/October | Experienced |  Education/Teaching |  Training/Instructor |  English |  Education |  English Teacher |  Teacher |  Teaching |  ESL |  English Teaching |  Native
Marketing Manager,INVENTO,"Maadi, Cairo, Egypt","Full Time, On-site",Marketing Manager | Manager |  Marketing/PR/Advertising |  Sales/Retail |  Media/Journalism/Publishing |  Business Administration |  Digital Marketing |  Advertising |  media |  Marketing Campaigns
Project Manager,INVENTO,"Maadi, Cairo, Egypt","Full Time, On-site",Project Manager | Manager |  Administration |  Project/Program Management |  Business Administration |  Communication |  Project |  Planning |  PMP
Tendering & Cost Estimation mechanical Engineer,Conserv,"New Cairo, Cairo, Egypt","Full Time, Hybrid",Tendering & Cost Estimation mechanical Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  BOQ |  Cost |  Construction |  Cost Estimation |  Engineering |  Estimation |  Mechanical Engineering |  tender
Administrative Security Manager,Confidential,"Qalyub, Qalubia, Egypt","Full Time, On-site",Administrative Security Manager | Manager |  Administration |  Administration |  Security |  security manager |  Leadership |  CCTV |  Reporting
Legal Advisor,INVENTO,"Maadi, Cairo, Egypt","Full Time, On-site",Legal Advisor | Experienced |  Administration |  Legal |  Contracts |  Legal |  Law |  Regulations
Data Entry Specialist,Kreston,"Maadi, Cairo, Egypt","Full Time, On-site",Data Entry Specialist | Entry Level |  Administration |  Writing/Editorial |  Data Entry |  Administration |  English |  Typing |  Admin |  Typing Skills |  Microsoft Office |  Speed
Plastic Mold Design and Maintenance Engineer,AlAmal Alsharif For Plastic,"10th of Ramadan City, Cairo, Egypt","Full Time, On-site",Plastic Mold Design and Maintenance Engineer | Experienced |  Manufacturing/Production |  Engineering - Mechanical/Electrical |  Engineering - Other |  Mechanical Engineering |  SolidWorks |  Maintenance |  Engineering |  Mechanical |  mold |  AutoCAD
Administrative Assistant,KIG Konnice,"Shorouk City, Cairo, Egypt","Full Time, On-site",Administrative Assistant | Experienced |  Administration |  Customer Service/Support |  Operations/Management |  Administration |  administrative |  administrative assistant |  Communication |  Assistant |  Management |  Microsoft Office
Software Service Delivery Manager,Confidential,"Cairo, Egypt","Full Time, On-site",Software Service Delivery Manager | Senior Management |  IT/Software Development |  Project/Program Management |  Engineering - Telecom/Technology |  PMP |  Agile |  Project Management |  sales skills |  Java |  Management |  Software
Sales Operations Coordinator,The Green realestate,"Maadi, Cairo, Egypt","Full Time, Part Time, Hybrid",Sales Operations Coordinator | Experienced |  Business Development |  Sales/Retail |  Real Estate Sales |  Real Estate |  property consultant |  Sales |  Sales outdoor |  Resale |  Advertising Sales |  sales skills
Senior Planning Engineer (Alamein),ACE Consulting Engineers  (Moharram  Bakhoum,"Allamein, Matruh, Egypt","Full Time, On-site",Senior Planning Engineer (Alamein) | Experienced |  Engineering - Construction/Civil/Architecture |  Architecture |  Civil |  Planning
Marketing Manager,Tawaref,"Cairo, Egypt","Full Time, Remote",Marketing Manager | Manager |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Digital Marketing |  Communication skills |  Communication |  Social Media |  Marketing |  Market Research |  SEO |  UI Design
Interior Designer,Azzurre Yachts,"New Cairo, Cairo, Egypt","Full Time, Remote",Interior Designer | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Sales/Retail |  3ds Max |  Architecture |  AutoCAD |  Communication skills |  Interior |  English |  Management
Digital Marketing Expert,Azzurre Yachts,"New Cairo, Cairo, Egypt","Full Time, Remote",Digital Marketing Expert | Experienced |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Digital Marketing |  digital marketing |  E-Marketing |  Marketing |  Social Media |  Marketing Assistant |  Communication |  Communication skills
Architect Engineer,Tatareal,"New Cairo, Cairo, Egypt","Full Time, On-site",Architect Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Architecture |  Design |  Drawing |  Engineering |  Project Management |  Construction |  3D
Vendor Acquisition Specialist,Bnaia,"Maadi, Cairo, Egypt","Internship, On-site",Vendor Acquisition Specialist | Entry Level |  Business Development |  Logistics/Supply Chain |  Sales/Retail |  Acquisition |  vendor |  Vendor Acquisition |  Communication
Marketing Agency - Account Manager,Stufflink,"Heliopolis, Cairo, Egypt","Full Time, On-site",Marketing Agency - Account Manager | Experienced |  Marketing/PR/Advertising |  Marketing |  Planning |  Client Relationship
Property Advisor,Confidential,"Maadi, Cairo, Egypt","Full Time, On-site",Property Advisor | Entry Level |  Sales/Retail |  Advisor |  Property |  property advisor |  Real Estate |  Sales |  sales skills |  Sales Target |  Communication |  Customer Service
Personal Assistant,The Translation Gate,"Maadi, Cairo, Egypt","Full Time, On-site",Personal Assistant | Experienced |  Administration |  Business Administration |  Communication skills |  Office management |  Microsoft Office |  Office manager
Accounting Team Leader,Aqarmap.com,"Nasr City, Cairo, Egypt","Full Time, On-site",Accounting Team Leader | Experienced |  Accounting/Finance |  Audit |  Experience |  Leadership |  Leadership skills |  Reporting |  Financial Accounting |  Accounting |  auditor |  taxes
Backend Developer,Rehabitaire,"Cairo, Egypt","Full Time, On-site",Backend Developer | Experienced |  Creative/Design/Art |  IT/Software Development |  Engineering - Telecom/Technology |  API |  AWS |  back-end |  Computer Science |  Git |  Information Technology (IT) |  Python
UI UX Designer,Rehabitaire,"Cairo, Egypt","Full Time, On-site",UI UX Designer | Experienced |  Creative/Design/Art |  IT/Software Development |  Engineering - Telecom/Technology |  UI |  UX |  UX Design |  UI Design |  UI/UX |  Design |  English
AI Engineer,Rehabitaire,"Cairo, Egypt","Full Time, On-site",AI Engineer | Experienced |  IT/Software Development |  Analyst/Research |  Engineering - Telecom/Technology |  AWS |  AI |  colab |  google colab |  C |  c++ |  Python
Sales Associate (In Store),Koay Silver,"Sheikh Zayed, Giza, Egypt","Full Time, Shift Based, On-site",Sales Associate (In Store) | Entry Level |  Sales/Retail |  Communication |  Customer |  Retail |  Retail Sales |  Sales |  sales skills |  Sales Target |  Customer Service |  inventory
Office Manager And Customer Care,Canadian for physio,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Office Manager And Customer Care | Experienced |  Administration |  Customer Service/Support |  Operations/Management |  Administration |  Office management |  Management |  Communication |  administrative |  Assistant |  Customer Care
"Utilities Maintenance Engineer ""Power Michanical""",ICON Holding,"Cairo, Egypt","Full Time, On-site","Utilities Maintenance Engineer ""Power Michanical"" | Experienced |  Installation/Maintenance/Repair |  Manufacturing/Production |  Engineering - Mechanical/Electrical |  Mechanical Engineering |  mechanical power |  Oracle |  MS Office |  Utilities |  Software |  Engineering"
Camp Coordinator,Leap Development Hub,"New Cairo, Cairo, Egypt","Internship, On-site",Camp Coordinator | Entry Level |  Sports and Leisure |  Camping |  Sports |  Camp Program |  English |  Camp Counselling
Accountant,Confidential,"Nasr City, Cairo, Egypt","Full Time, On-site",Accountant | Entry Level |  Accounting/Finance |  accountant |  Accounting |  Finance |  CMA |  GAAP |  CPA |  Financial Analysis |  General Ledger |  Financial Management
Personnel Specialist,Value Development,"Mokattam, Cairo, Egypt","Full Time, On-site",Personnel Specialist | Experienced |  Human Resources |  Human Resources |  Microsoft Office |  Personnel |  Communication |  Labor Laws |  Payroll |  Schools
HR Specialist,GNT Textile,"Mubarak, Port Said, Egypt","Full Time, On-site",HR Specialist | Experienced |  Human Resources |  HR |  Human Resources |  Recruitment |  Labor
Health And Safety specialist,Rozabella Textile,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",Health And Safety specialist | Experienced |  Administration |  Health and Safety |  HSE |  Safety |  Safety specialist |  Health
Warehouse Manager,Confidential,"Qalyub, Qalubia, Egypt","Full Time, On-site",Warehouse Manager | Manager |  Logistics/Supply Chain |  Operations/Management |  Logistics |  Supply Chain |  Warehouse Management |  Warehousing |  Warehouse |  Supply |  supply chain management
TEXTILE PLANNING MANAGER,Rozabella Textile,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",TEXTILE PLANNING MANAGER | Manager |  Operations/Management |  Manufacturing/Production |  Planning |  planning Manager |  Project Management |  Manager |  Management |  Textile
Sales Representative,Confidential,"Heliopolis, Cairo, Egypt","Full Time, Hybrid","Sales Representative | Experienced |  Medical/Healthcare |  Sales/Retail |  Engineering - Other |  Biomedical Engineering |  Outdoor Sales |  Sales |  Communication |  Mechanical, Electrical, and Plumbing |  Biomedical |  Travel"
Customer Service Assistant,FlakeTech,"Obour City, Cairo, Egypt","Full Time, On-site",Customer Service Assistant | Experienced |  Customer Service/Support |  Customer Service |  Customer Support |  English |  Furniture |  Sales |  Customer |  Customer Care |  CRM |  Customer Satisfaction
CNC Operator Machinist,YONI Furniture,"Heliopolis, Cairo, Egypt","Full Time, On-site",CNC Operator Machinist | Entry Level |  Engineering - Construction/Civil/Architecture |  Manufacturing/Production |  ArtCAM |  CNC |  AutoCAD |  Manufacturing |  Production |  Software |  Engineering |  Production Engineering
Furniture CNC Production Engineer,YONI Furniture,"Heliopolis, Cairo, Egypt","Full Time, On-site",Furniture CNC Production Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Operations/Management |  Manufacturing/Production |  ArtCAM |  CNC |  AutoCAD |  Manufacturing |  Production |  Software |  Engineering
Software Technical Support,bc,"Riyadh, Saudi Arabia","Full Time, On-site",Software Technical Support | Entry Level |  IT/Software Development |  Information Technology (IT) |  Software |  Cisco |  Communication |  computer |  Computer Science |  Customer Support |  Help desk |  Linux
Human Resources Generalist,MileStone,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Human Resources Generalist | Experienced |  Human Resources |  human resources generalist |  Recruitment |  Generalist |  Microsoft Office |  Personnel
Sales & Marketing Executive,Cargoway Logistic,"Haram, Giza, Egypt","Full Time, On-site",Sales & Marketing Executive | Entry Level |  Marketing/PR/Advertising |  Sales/Retail |  Marketing |  Sales |  Marketing executive |  Business Administration |  Communication |  Sales Target |  Market Research |  sales skills
Procurement Specialist,Memaar Alashraaf,"New Cairo, Cairo, Egypt","Full Time, On-site",Procurement Specialist | Experienced |  Administration |  Purchasing/Procurement |  business |  Business Administration |  Administration |  Purchasing |  Supply Chain |  Communication |  Management |  Procurement
Operation Coordinator,Cargoway Logistic,"Haram, Giza, Egypt","Full Time, On-site",Operation Coordinator | Experienced |  Logistics/Supply Chain |  Operations/Management |  Logistics |  Supply |  Business Administration |  Supply Chain |  Communication |  Operations
Academic Supervisor Zayed,EPlanet,"6th of October, Giza, Egypt","Full Time, On-site",Academic Supervisor Zayed | Manager |  Education/Teaching |  Training/Instructor |  Education |  Teaching |  Communication skills
Tax Accountant,Memaar Alashraaf,"New Cairo, Cairo, Egypt","Full Time, On-site",Tax Accountant | Experienced |  Accounting/Finance |  Accounting |  excel |  Financial Analysis |  Finance |  Tax |  tax accountant |  accountant |  Accounting Software |  Bookkeeping
Senior Accountant,Ibedcity Oy,"Helsinki, Finland","Full Time, Remote",Senior Accountant | Experienced |  Accounting/Finance |  Accounting |  General Ledger |  Financial Management |  Accounting Software |  CMA |  CPA |  Financial Analysis |  Finance |  MS Excel
Store Keeper,Confidential,"Tanta, Gharbia, Egypt","Full Time, On-site",Store Keeper | Experienced |  Administration |  Logistics/Supply Chain |  Purchasing/Procurement |  Store Keeping |  Warehousing |  Supply Chain |  Logistics |  Construction |  English |  Contracting
Receptionist - Fifth Settlement & Sheikh Zayed,Wham Clinics,"New Cairo, Cairo, Egypt","Full Time, On-site",Receptionist - Fifth Settlement & Sheikh Zayed | Entry Level |  Administration |  Customer Service/Support |  Operations/Management |  Administration |  Microsoft Office |  Office Management |  Secretary |  Admin Assistant |  Clinic Reception |  Front Office
Structural technical office,OnCrete,"New Cairo, Cairo, Egypt","Full Time, On-site",Structural technical office | Experienced |  Engineering - Construction/Civil/Architecture |  AutoCAD |  structural engineer |  Technical Office |  Construction |  CSI |  structural |  Structural Engineering
Admin,Arabia Capital  Investment & Development,"6th of October, Giza, Egypt","Full Time, On-site",Admin | Experienced |  Administration |  Admin |  Administration |  Communication |  Communication skills |  Excellent |  Internet |  Microsoft Office |  office |  Office management
Sales Supervisor outddor,El Shoroouk international,"Giza, Egypt","Full Time, On-site",Sales Supervisor outddor | Experienced |  Sales/Retail |  Customer |  Industry |  Sales |  sales skills |  Sales Target |  Marketing |  Skills |  Outdoor Sales |  sanitary ware
Medical devices Sales Manager,Confidential,"Heliopolis, Cairo, Egypt","Full Time, Hybrid",Medical devices Sales Manager | Manager |  Medical/Healthcare |  Sales/Retail |  Engineering - Other |  Sales |  Sales Management |  Biomedical Engineering |  Medical Devices Sales
Business Development / Sales Manager for Education Technology company,Confidential,"6th of October, Giza, Egypt","Full Time, On-site",Business Development / Sales Manager for Education Technology company | Manager |  Business Development |  Customer Service/Support |  Sales/Retail |  Sales Target |  sales skills |  Education Technology |  Education
Senior Flutter Programmer / Developer,Confidential,"6th of October, Giza, Egypt","Full Time, Hybrid",Senior Flutter Programmer / Developer | Experienced |  IT/Software Development |  Engineering - Telecom/Technology |  CD |  CI/CD |  Computer Science |  APIs |  Development |  flutter |  CI |  Information Technology (IT)
Call Center Agent,Confidential,"Agouza, Giza, Egypt","Full Time, On-site",Call Center Agent | Entry Level |  Customer Service/Support |  Operations/Management |  Call Center |  computer |  Customer |  Customer Service |  Service |  Customer Care |  Customer Support
Store Keeper,Confidential,"Bourj Alarab, Alexandria, Egypt","Full Time, On-site",Store Keeper | Experienced |  Administration |  Inventory Management |  Stock |  Management |  inventory |  Storekeeping |  Warehouse |  Warehousing |  Stock Management |  Supply Chain
Search Engine Optimization Specialist,Seattle PPC Agency,"Seattle, United States","Full Time, Remote",Search Engine Optimization Specialist | Experienced |  Marketing/PR/Advertising |  Project/Program Management |  Media/Journalism/Publishing |  SEO |  Digital Marketing |  Content |  Marketing |  digital marketing |  Keyword |  SCREAMING FROG
HR Advisor,Qualified Crew,"Montaza, Alexandria, Egypt","Part Time, Remote",HR Advisor | Entry Level |  Human Resources |  Employee Relations |  Human Resources (HR) |  Recruitment |  Microsoft Office |  HR
Store keeper,الرائد للمقاولات العامة,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Store keeper | Entry Level |  Logistics/Supply Chain |  Operations/Management |  Logistics |  Store Keeping |  Management |  Supply Chain |  Warehousing
Logistics Coordinator - Work from Home,"My Truck Logistics, LLC","Cairo, Egypt","Full Time, Remote",Logistics Coordinator - Work from Home | Experienced |  Logistics/Supply Chain |  Operations/Management |  Logistics |  Management |  Supply Chain |  Communication |  Transportation |  Permits |  Support Services
Marketing Specialist,"My Truck Logistics, LLC","Cairo, Egypt","Full Time, Remote",Marketing Specialist | Experienced |  Creative/Design/Art |  Logistics/Supply Chain |  Marketing/PR/Advertising |  Marketing |  E-Marketing |  SEO |  Social Media |  Digital |  Digital Marketing |  social
Agricultural Drainage Water Expert (Team Leader) for Jordan WEC – STTA,Tetra Tech International Development Services,"Amman, Jordan","Freelance / Project, On-site",Agricultural Drainage Water Expert (Team Leader) for Jordan WEC – STTA | Experienced |  Engineering - Other |  Civil Engineering |  Agriculture |  Water Pumps
Remote Medical Transcriptionist,Confidential,"Cairo, Egypt","Full Time, Remote",Remote Medical Transcriptionist | Entry Level |  Medical/Healthcare |  Medical |  Editing |  Medical transcription |  Transcriptionist |  Phsyical Therpay |  Remote |  remotely |  work from home
Customer Care Representative - Vodafone UK - Graduates/Gap Year/Dropouts - Fluent English Speaker,VOIS Egypt,"Cairo, Egypt","Full Time, Shift Based, Hybrid",Customer Care Representative - Vodafone UK - Graduates/Gap Year/Dropouts - Fluent English Speaker | Entry Level |  Customer Service/Support |  Engineering - Telecom/Technology |  Agent |  Call Center |  Customer Service |  Customer Care |  Customer Support |  uk |  advisor |  English
Office Manager,Canadian for physio,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Office Manager | Experienced |  Administration |  Operations/Management |  Administration |  Manager |  Office management |  Office manager |  Assistant |  Communication |  excel |  Front Office
Accounting Manager,Eamar Al Delta,"New Cairo, Cairo, Egypt","Full Time, On-site",Accounting Manager | Manager |  Accounting/Finance |  Engineering - Construction/Civil/Architecture |  Operations/Management |  Accounting |  Construction |  Finance |  Financial Analysis |  Financial Management |  Real Estate
Customer Service Representative - Vodafone UK - Graduates/Gap Year/Dropouts - Fluent English Speaker,VOIS Egypt,"Giza, Egypt","Full Time, Shift Based, Hybrid",Customer Service Representative - Vodafone UK - Graduates/Gap Year/Dropouts - Fluent English Speaker | Entry Level |  Customer Service/Support |  Engineering - Telecom/Technology |  Agent |  Call Center |  Customer Service |  Customer Care |  Customer Support |  uk |  advisor |  English
Executive Assistant to Chairman & Founder,Confidential,"Cairo, Egypt","Full Time, Hybrid",Executive Assistant to Chairman & Founder | Experienced |  Administration |  Operations/Management |  Business Administration |  Office management |  Administration |  Secretary |  Communication skills
Sales Supervisor,MKS RETAIL HUB LTD,"Maadi, Cairo, Egypt","Full Time, Part Time, Remote",Sales Supervisor | Manager |  Customer Service/Support |  Sales/Retail |  Marketing |  Sales Management |  business |  Business Administration |  Communication |  Customer Service |  English |  Management
Senior Product Owner,The Address Investments for Real Estate Consultancy,"New Cairo, Cairo, Egypt","Full Time, Hybrid",Senior Product Owner | Experienced |  IT/Software Development |  Engineering - Other |  Agile |  Computer Science |  Information Technology (IT) |  Software Development |  Product
Social Media Specialist,Scandi Home,"Madinaty, Cairo, Egypt","Full Time, On-site",Social Media Specialist | Experienced |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Social Media |  Marketing |  E-Marketing |  media |  Experience |  Communication |  Design |  Editing
Indoor Sales Agent,Scandi Home,"Madinaty, Cairo, Egypt","Full Time, Part Time, On-site",Indoor Sales Agent | Entry Level |  Sales/Retail |  Indoor Sales |  Customer Service |  Communication |  Sales |  sales skills |  Sales Target
Medical Sales Representative,Al Fanar Medical,"Moharam Bek, Alexandria, Egypt","Full Time, On-site",Medical Sales Representative | Entry Level |  Medical/Healthcare |  Sales/Retail |  Pharmaceutical |  Sales |  Sales Skills |  Vet |  Pharmacy |  Science |  Medical Sales |  Veterinary
Sales Account Manager - Daftra,"Izam, inc.","Smart Village, Giza, Egypt","Full Time, Shift Based, On-site",Sales Account Manager - Daftra | Entry Level |  Business Development |  Sales/Retail |  Negotiation |  Sales |  Sales Skills |  Customer Service |  Sales Target |  English |  Communication |  Software
Facility Mintenance & Operation Engineer,PROTEC Egypt,"New Cairo, Cairo, Egypt","Full Time, On-site",Facility Mintenance & Operation Engineer | Manager |  Engineering - Mechanical/Electrical |  Fire Protection |  Electrical Engineering |  Mechanical Engineering |  Microsoft Office |  AutoCAD |  Fire Alarm |  Shop Drawings |  Fire Fighting |  Technical Office
Freelance Auditor,Advisors International Corporation,"Mansoura, Dakahlia, Egypt","Freelance / Project, On-site",Freelance Auditor | Entry Level |  Hospitality/Hotels/Food Services |  freelance |  Auditing |  Safety |  HACCP |  ISO 22000 |  ISO 19011 |  mansoura |  dakahlia |  food safety specialist
Site Engineer,ESC,"Cairo, Egypt","Full Time, On-site",Site Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  Architecture |  Civil |  Civil Engineering |  Construction |  Engineering |  Management |  Microsoft Office |  Project Management
Food Safety Specialist,Advisors International Corporation,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Food Safety Specialist | Entry Level |  Hospitality/Hotels/Food Services |  Quality |  Food Safety Management |  Food Hygiene |  Quality Control |  Catering |  Veterinary |  Veterinary Medicine |  Agriculture |  HACCP
Technical Office Electrical Engineer,ESC,"New Cairo, Cairo, Egypt","Full Time, On-site",Technical Office Electrical Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Engineering - Mechanical/Electrical |  AutoCAD |  Communication skills |  Electrical Engineering |  Manufacturing |  Engineering |  Microsoft Office |  Skills
Mechanical Engineer,ESC,"New Cairo, Cairo, Egypt","Full Time, Part Time, On-site",Mechanical Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  Electrical Engineering |  Maintenance |  Engineering |  Mechanical Engineering |  Skills |  Construction |  Communication |  HVAC
Treasury Supervisor,Premium Card,"Giza, Giza, Egypt","Full Time, On-site",Treasury Supervisor | Experienced |  Accounting/Finance |  Finance |  Treasury
Reservation and Admin Officer,Real Egypt,"Cairo, Egypt","Full Time, Hybrid",Reservation and Admin Officer | Experienced |  Administration |  Hospitality/Hotels/Food Services |  Administration |  Admin |  Computer Skills |  English |  Office management |  Reservation |  Booking |  computer
Front End Developer,Rehabitaire,"Cairo, Egypt","Full Time, On-site",Front End Developer | Experienced |  Creative/Design/Art |  IT/Software Development |  Engineering - Telecom/Technology |  Computer Science |  CSS |  front-end |  React |  Reactjs |  React.js |  HTML5
Trade marketing Section head,Al Asdekaa Group for Dairies Production and Trading,"Cairo, Egypt","Full Time, Hybrid",Trade marketing Section head | Manager |  Marketing/PR/Advertising |  Marketing |  media
Secretary,Rehabitaire,"Cairo, Egypt","Full Time, On-site",Secretary | Experienced |  Administration |  Business Development |  Operations/Management |  Administration |  administrative |  English |  Secretary |  Scheduling |  reports |  Office management
Quality Assurance Head-Home Appliances,VOW home appliances,"Badr City, Cairo, Egypt","Full Time, On-site",Quality Assurance Head-Home Appliances | Experienced |  Manufacturing/Production |  Quality |  Production |  Production Engineering |  Quality Assurance |  quality |  QA |  Quality Control |  Communication skills |  Engineering
Warehouse Supervisor,El Negma Pasta Factory,"Shubra, Cairo, Egypt","Full Time, On-site",Warehouse Supervisor | Experienced |  Operations/Management |  Warehouse |  Warehousing |  Administration |  inventory
Content Development Specialist,Confidential,"Shubra, Cairo, Egypt","Freelance / Project, On-site",Content Development Specialist | Experienced |  Marketing/PR/Advertising |  Writing |  Business Development |  Business Writing |  Marketing |  MS Office
Senior Motion Graphic Designer,Eqlaa,"Heliopolis, Cairo, Egypt","Full Time, Remote",Senior Motion Graphic Designer | Experienced |  Marketing/PR/Advertising |  Adobe illustrator |  Adobe After Effects |  After Effects
Product Engineer-(Home Appliances ),VOW home appliances,"Badr City, Cairo, Egypt","Full Time, On-site",Product Engineer-(Home Appliances ) | Experienced |  Engineering - Mechanical/Electrical |  Engineering |  Communication skills |  Product engineer |  Product |  Mechanical Engineering
Medical Sales Representative,Care Hub Hospital,"Alexandria, Egypt","Full Time, Hybrid",Medical Sales Representative | Experienced |  Medical/Healthcare |  Medical Sales |  medical sales representative |  Sales representative |  Sales |  Medical |  Sales Target
Senior SEO Specialist,Eqlaa,"Heliopolis, Cairo, Egypt","Full Time, Remote",Senior SEO Specialist | Experienced |  Marketing/PR/Advertising |  Advertising |  E-Marketing |  SEO
Teller,El Negma Pasta Factory,"Shubra, Cairo, Egypt","Full Time, On-site",Teller | Entry Level |  Accounting/Finance |  Accounting |  Finance |  teller
Senior Media Buyer,Eqlaa,"Heliopolis, Cairo, Egypt","Full Time, Remote",Senior Media Buyer | Experienced |  Marketing/PR/Advertising |  Digital Marketing |  digital marketing |  Facebook ads |  Google Ads |  Media Buying
Senior Graphic Designer,Confidential,"Sheraton, Cairo, Egypt","Full Time, On-site",Senior Graphic Designer | Experienced |  Creative/Design/Art |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Adobe Photoshop |  Adobe Premiere |  Creative |  Design |  Graphic Design |  photoshop |  After Effects
HR Deputy Manager,Confidential,"Sheraton, Cairo, Egypt","Full Time, On-site",HR Deputy Manager | Experienced |  Human Resources |  Training/Instructor |  HR |  Business Administration |  Human Resources |  Human Resources (HR) |  Recruiter |  Recruitment |  Training |  Software
Online ERP Sales,Aldabboos Group,"Sheraton, Cairo, Egypt","Full Time, On-site",Online ERP Sales | Experienced |  Accounting/Finance |  Customer Service/Support |  IT/Software Development |  Communication |  ERP |  CRM |  Odoo |  IT |  sales skills |  Software
Fleet specialist,ariika,"10th of Ramadan City, Cairo, Egypt","Full Time, On-site",Fleet specialist | Experienced |  Logistics/Supply Chain |  Operations/Management |  Fleet supervisor |  Fleet |  Logistics |  Operations |  Supply Chain |  Fleet Management
Call Center Agent,Technical 24,"Alhadra, Alexandria, Egypt","Full Time, On-site",Call Center Agent | Entry Level |  Customer Service/Support |  Call Center |  Arabic |  Customer Service |  English |  Agent |  Customer Care |  Customer Support
Chemical Sales Representative,Aktan Misr,"Maadi, Cairo, Egypt","Full Time, Hybrid",Chemical Sales Representative | Experienced |  Sales/Retail |  Communication |  Customer Service |  Sales Target |  Sales |  Chemistry |  Chemical Engineering
Customer Support Representative,Aktan Misr,"Mahalla Kubra, Gharbia, Egypt","Full Time, On-site",Customer Support Representative | Experienced |  Customer Service/Support |  Customer Care |  Customer Service |  Customer service representative |  Sales |  Customer |  Customer Support
CRM Coordinator,ATRIC Developments,"New Capital, Cairo, Egypt","Full Time, On-site",CRM Coordinator | Experienced |  Customer Service/Support |  Customer Service |  CRM
Handover engineer,ATRIC Developments,"New Capital, Cairo, Egypt","Full Time, On-site",Handover engineer | Experienced |  Customer Service/Support |  handover |  Engineering |  CRM |  Customer Service
Production Engineer (Frozen Fruits & Vegetables),Farm Fresh,"Alexandria, Egypt","Full Time, On-site",Production Engineer (Frozen Fruits & Vegetables) | Experienced |  Manufacturing/Production |  Engineering - Other |  Food |  Food industry |  Production |  Food Science |  Food Engineering |  Production Engineering |  Industrial |  Leadership
